Rank,Name,Year,Cast,Rating,Link
49,Rear Window,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.4,www.imdb.com/title/tt0047396/
50,Alien,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.4,www.imdb.com/title/tt0078748/
51,City Lights,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.4,www.imdb.com/title/tt0021749/
52,Nuovo Cinema Paradiso,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.4,www.imdb.com/title/tt0095765/
53,Apocalypse Now,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.4,www.imdb.com/title/tt0078788/
54,Memento,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.4,www.imdb.com/title/tt0209144/
55,Raiders of the Lost Ark,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.4,www.imdb.com/title/tt0082971/
56,Django Unchained,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.4,www.imdb.com/title/tt1853728/
57,WALL·E,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.4,www.imdb.com/title/tt0910970/
58,The Lives of Others,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.4,www.imdb.com/title/tt0405094/
59,Sunset Blvd.,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.4,www.imdb.com/title/tt0043014/
60,Paths of Glory,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.4,www.imdb.com/title/tt0050825/
61,The Shining,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.4,www.imdb.com/title/tt0081505/
62,The Great Dictator,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.4,www.imdb.com/title/tt0032553/
63,Witness for the Prosecution,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.4,www.imdb.com/title/tt0051201/
64,Avengers: Infinity War,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.4,www.imdb.com/title/tt4154756/
65,Top Gun: Maverick,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly",8.3,www.imdb.com/title/tt1745960/
66,Aliens,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.3,www.imdb.com/title/tt0090605/
67,American Beauty,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.3,www.imdb.com/title/tt0169547/
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.3,www.imdb.com/title/tt0057012/
69,Spider-Man: Into the Spider-Verse,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.3,www.imdb.com/title/tt4633694/
70,The Dark Knight Rises,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.3,www.imdb.com/title/tt1345836/
71,Oldeuboi,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae",8.3,www.imdb.com/title/tt0364569/
72,Joker,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.3,www.imdb.com/title/tt7286456/
73,Amadeus,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.3,www.imdb.com/title/tt0086879/
74,Braveheart,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.3,www.imdb.com/title/tt0112573/
75,Toy Story,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.3,www.imdb.com/title/tt0114709/
76,Coco,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.3,www.imdb.com/title/tt2380307/
77,Inglourious Basterds,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.3,www.imdb.com/title/tt0361748/
78,Das Boot,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.3,www.imdb.com/title/tt0082096/
79,Mononoke-hime,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.3,www.imdb.com/title/tt0119698/
80,Avengers: Endgame,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.3,www.imdb.com/title/tt4154796/
81,Once Upon a Time in America,1984,"Sergio Leone (dir.), Robert De Niro, James Woods",8.3,www.imdb.com/title/tt0087843/
82,Good Will Hunting,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.3,www.imdb.com/title/tt0119217/
83,Kimi no na wa.,2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.3,www.imdb.com/title/tt5311514/
84,Requiem for a Dream,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.3,www.imdb.com/title/tt0180093/
85,Toy Story 3,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.3,www.imdb.com/title/tt0435761/
86,Singin' in the Rain,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.3,www.imdb.com/title/tt0045152/
87,3 Idiots,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.3,www.imdb.com/title/tt1187043/
88,Tengoku to jigoku,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.3,www.imdb.com/title/tt0057565/
89,Star Wars: Episode VI - Return of the Jedi,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.3,www.imdb.com/title/tt0086190/
90,2001: A Space Odyssey,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.3,www.imdb.com/title/tt0062622/
91,Eternal Sunshine of the Spotless Mind,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.3,www.imdb.com/title/tt0338013/
92,Reservoir Dogs,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.3,www.imdb.com/title/tt0105236/
93,Capharnaüm,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.3,www.imdb.com/title/tt8267604/
94,Jagten,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.3,www.imdb.com/title/tt2106476/
95,Lawrence of Arabia,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.3,www.imdb.com/title/tt0056172/
96,Citizen Kane,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.3,www.imdb.com/title/tt0033467/
97,M - Eine Stadt sucht einen Mörder,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.3,www.imdb.com/title/tt0022100/
98,North by Northwest,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.3,www.imdb.com/title/tt0053125/
99,Idi i smotri,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.2,www.imdb.com/title/tt0091251/
100,Vertigo,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.2,www.imdb.com/title/tt0052357/
101,Le fabuleux destin d'Amélie Poulain,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.2,www.imdb.com/title/tt0211915/
102,A Clockwork Orange,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.2,www.imdb.com/title/tt0066921/
103,Double Indemnity,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.2,www.imdb.com/title/tt0036775/
104,Full Metal Jacket,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.2,www.imdb.com/title/tt0093058/
105,The Apartment,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.2,www.imdb.com/title/tt0053604/
106,Ikiru,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.2,www.imdb.com/title/tt0044741/
107,Scarface,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.2,www.imdb.com/title/tt0086250/
108,The Sting,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.2,www.imdb.com/title/tt0070735/
109,To Kill a Mockingbird,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.2,www.imdb.com/title/tt0056592/
110,Taxi Driver,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.2,www.imdb.com/title/tt0075314/
111,Heat,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.2,www.imdb.com/title/tt0113277/
112,Up,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai",8.2,www.imdb.com/title/tt1049413/
113,L.A. Confidential,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.2,www.imdb.com/title/tt0119488/
114,Incendies,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.2,www.imdb.com/title/tt1255953/
115,Metropolis,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.2,www.imdb.com/title/tt0017136/
116,Jodaeiye Nader az Simin,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.2,www.imdb.com/title/tt1832382/
117,Hamilton,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.2,www.imdb.com/title/tt8503618/
118,Die Hard,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.2,www.imdb.com/title/tt0095016/
119,Snatch,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.2,www.imdb.com/title/tt0208092/
120,Indiana Jones and the Last Crusade,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.2,www.imdb.com/title/tt0097576/
121,Ladri di biciclette,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.2,www.imdb.com/title/tt0040522/
122,1917,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.2,www.imdb.com/title/tt8579674/
123,Taare Zameen Par,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.2,www.imdb.com/title/tt0986264/
124,Der Untergang,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.2,www.imdb.com/title/tt0363163/
125,Per qualche dollaro in più,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.2,www.imdb.com/title/tt0059578/
126,Batman Begins,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.2,www.imdb.com/title/tt0372784/
127,Dangal,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.2,www.imdb.com/title/tt5074352/
128,The Kid,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.2,www.imdb.com/title/tt0012349/
129,Some Like It Hot,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.2,www.imdb.com/title/tt0053291/
130,All About Eve,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.2,www.imdb.com/title/tt0042192/
131,The Father,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",8.2,www.imdb.com/title/tt10272386/
132,Green Book,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.2,www.imdb.com/title/tt6966692/
133,The Wolf of Wall Street,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.2,www.imdb.com/title/tt0993846/
134,Judgment at Nuremberg,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.2,www.imdb.com/title/tt0055031/
135,Spider-Man: No Way Home,2021,"Jon Watts (dir.), Tom Holland, Zendaya",8.2,www.imdb.com/title/tt10872600/
136,Ran,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.2,www.imdb.com/title/tt0089881/
137,Casino,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.2,www.imdb.com/title/tt0112641/
138,Unforgiven,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.2,www.imdb.com/title/tt0105695/
139,Pan's Labyrinth,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.2,www.imdb.com/title/tt0457430/
140,There Will Be Blood,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.2,www.imdb.com/title/tt0469494/
141,The Truman Show,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.2,www.imdb.com/title/tt0120382/
142,The Sixth Sense,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.2,www.imdb.com/title/tt0167404/
143,A Beautiful Mind,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.2,www.imdb.com/title/tt0268978/
144,Monty Python and the Holy Grail,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.2,www.imdb.com/title/tt0071853/
145,Yôjinbô,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.1,www.imdb.com/title/tt0055630/
146,The Treasure of the Sierra Madre,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.1,www.imdb.com/title/tt0040897/
147,Shutter Island,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.1,www.imdb.com/title/tt1130884/
148,Jurassic Park,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.1,www.imdb.com/title/tt0107290/
149,Rashômon,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.1,www.imdb.com/title/tt0042876/
150,The Great Escape,1963,"John Sturges (dir.), Steve McQueen, James Garner",8.1,www.imdb.com/title/tt0057115/
151,Kill Bill: Vol. 1,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.1,www.imdb.com/title/tt0266697/
152,No Country for Old Men,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.1,www.imdb.com/title/tt0477348/
153,Finding Nemo,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.1,www.imdb.com/title/tt0266543/
154,The Elephant Man,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.1,www.imdb.com/title/tt0080678/
155,Chinatown,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.1,www.imdb.com/title/tt0071315/
156,Raging Bull,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.1,www.imdb.com/title/tt0081398/
157,The Thing,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.1,www.imdb.com/title/tt0084787/
158,Gone with the Wind,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.1,www.imdb.com/title/tt0031381/
159,V for Vendetta,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.1,www.imdb.com/title/tt0434409/
160,Inside Out,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.1,www.imdb.com/title/tt2096673/
161,"Lock, Stock and Two Smoking Barrels",1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.1,www.imdb.com/title/tt0120735/
162,Dial M for Murder,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.1,www.imdb.com/title/tt0046912/
163,El secreto de sus ojos,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.1,www.imdb.com/title/tt1305806/
164,Hauru no ugoku shiro,2004,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.1,www.imdb.com/title/tt0347149/
165,The Bridge on the River Kwai,1957,"David Lean (dir.), William Holden, Alec Guinness",8.1,www.imdb.com/title/tt0050212/
166,"Three Billboards Outside Ebbing, Missouri",2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.1,www.imdb.com/title/tt5027774/
167,Trainspotting,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.1,www.imdb.com/title/tt0117951/
168,Warrior,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.1,www.imdb.com/title/tt1291584/
169,Gran Torino,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.1,www.imdb.com/title/tt1205489/
170,Fargo,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand",8.1,www.imdb.com/title/tt0116282/
171,Prisoners,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.1,www.imdb.com/title/tt1392214/
172,Tonari no Totoro,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.1,www.imdb.com/title/tt0096283/
173,Million Dollar Baby,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.1,www.imdb.com/title/tt0405159/
174,Catch Me If You Can,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.1,www.imdb.com/title/tt0264464/
175,The Gold Rush,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.1,www.imdb.com/title/tt0015864/
176,Blade Runner,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.1,www.imdb.com/title/tt0083658/
177,On the Waterfront,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.1,www.imdb.com/title/tt0047296/
178,Bacheha-Ye aseman,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.1,www.imdb.com/title/tt0118849/
179,The Third Man,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.1,www.imdb.com/title/tt0041959/
180,Before Sunrise,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.1,www.imdb.com/title/tt0112471/
181,Ben-Hur,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.1,www.imdb.com/title/tt0052618/
182,12 Years a Slave,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.1,www.imdb.com/title/tt2024544/
183,Smultronstället,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.1,www.imdb.com/title/tt0050986/
184,Harry Potter and the Deathly Hallows: Part 2,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.1,www.imdb.com/title/tt1201607/
185,Gone Girl,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.1,www.imdb.com/title/tt2267998/
186,The General,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.1,www.imdb.com/title/tt0017925/
187,The Deer Hunter,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.1,www.imdb.com/title/tt0077416/
188,In the Name of the Father,1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.1,www.imdb.com/title/tt0107207/
189,The Grand Budapest Hotel,2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.1,www.imdb.com/title/tt2278388/
190,Barry Lyndon,1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.1,www.imdb.com/title/tt0072684/
