Rank,Name,Year,Cast,Rating,Link
210,Hotel Rwanda,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo",8.1,www.imdb.com/title/tt0395169/
211,Rocky,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",8.0,www.imdb.com/title/tt0075148/
212,Ford v Ferrari,2019,"James Mangold (dir.), Matt Damon, Christian Bale",8.0,www.imdb.com/title/tt1950186/
213,Platoon,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.0,www.imdb.com/title/tt0091763/
214,Pather Panchali,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.0,www.imdb.com/title/tt0048473/
215,Stand by Me,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.0,www.imdb.com/title/tt0092005/
216,The Terminator,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.0,www.imdb.com/title/tt0088247/
217,Spotlight,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",8.0,www.imdb.com/title/tt1895587/
218,Rush,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.0,www.imdb.com/title/tt1979320/
219,Logan,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.0,www.imdb.com/title/tt3315342/
220,Network,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.0,www.imdb.com/title/tt0074958/
221,Ratatouille,2007,"Brad Bird (dir.), Brad Garrett, Lou Romano",8.0,www.imdb.com/title/tt0382932/
222,Into the Wild,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.0,www.imdb.com/title/tt0758758/
223,The Wizard of Oz,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan",8.0,www.imdb.com/title/tt0032138/
224,Groundhog Day,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",8.0,www.imdb.com/title/tt0107048/
225,Before Sunset,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.0,www.imdb.com/title/tt0381681/
226,The Exorcist,1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",8.0,www.imdb.com/title/tt0070047/
227,The Best Years of Our Lives,1946,"William Wyler (dir.), Myrna Loy, Dana Andrews",8.0,www.imdb.com/title/tt0036868/
228,The Incredibles,2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",8.0,www.imdb.com/title/tt0317705/
229,To Be or Not to Be,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",8.0,www.imdb.com/title/tt0035446/
230,La battaglia di Algeri,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.0,www.imdb.com/title/tt0058946/
231,The Grapes of Wrath,1940,"John Ford (dir.), Henry Fonda, Jane Darwell",8.0,www.imdb.com/title/tt0032551/
232,Rebecca,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.0,www.imdb.com/title/tt0032976/
233,Hachi: A Dog's Tale,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.0,www.imdb.com/title/tt1028532/
234,Cool Hand Luke,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.0,www.imdb.com/title/tt0061512/
235,Amores perros,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.0,www.imdb.com/title/tt0245712/
236,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",8.0,www.imdb.com/title/tt0325980/
237,Jai Bhim,2021,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",8.0,www.imdb.com/title/tt15097216/
238,La haine,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.0,www.imdb.com/title/tt0113247/
239,Babam ve Oglum,2005,"Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.0,www.imdb.com/title/tt0476735/
240,Les quatre cents coups,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.0,www.imdb.com/title/tt0053198/
241,Persona,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.0,www.imdb.com/title/tt0060827/
242,It Happened One Night,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.0,www.imdb.com/title/tt0025316/
243,The Sound of Music,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",8.0,www.imdb.com/title/tt0059742/
244,Life of Brian,1979,"Terry Jones (dir.), Graham Chapman, John Cleese",8.0,www.imdb.com/title/tt0079470/
245,Ah-ga-ssi,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",8.0,www.imdb.com/title/tt4016934/
246,Dersu Uzala,1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",8.0,www.imdb.com/title/tt0071411/
247,Aladdin,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.0,www.imdb.com/title/tt0103639/
248,Gandhi,1982,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",8.0,www.imdb.com/title/tt0083987/
249,The Help,2011,"Tate Taylor (dir.), Emma Stone, Viola Davis",8.0,www.imdb.com/title/tt1454029/
250,The Iron Giant,1999,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr.",8.0,www.imdb.com/title/tt0129167/
